,Color,Year of car manufacture,Length,price,Width,Brand Name,Transmission type,Seats,Body type,city,Car model,kilometer driven,Insurance Validity_value,Fuel type,Number of previous owners,Engine Displacement_value(cc)
7581,White,2017,3430mm,269000.0,1515mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Alto 800,28036,Comprehensive,Petrol,1,796
7582,Red,2014,3395mm,248000.0,1490mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Alto 800,19631,Comprehensive,Petrol,1,796
7583,Others,2016,3675mm,300000.0,1715mm,Mahindra,Manual,6.0,SUV,Kolkata,Mahindra KUV 100,70000,Third Party insurance,Diesel,1,1198
7584,Silver,2015,4440mm,459999.99999999994,1695mm,Honda,Manual,5.0,Sedan,Kolkata,Honda City,50000,Comprehensive,Petrol,1,1497
7585,White,2020,4585mm,1075000.0,1890mm,Mahindra,Manual,7.0,SUV,Kolkata,Mahindra XUV500,33197,Comprehensive,Diesel,1,2179
7586,Grey,2018,3995mm,570000.0,1745mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Baleno,29000,Third Party insurance,Petrol,1,1197
7587,Green,2021,3993,975000.0,1811,Tata,Automatic,5.0,SUV,Kolkata,Tata Nexon,60000,Comprehensive,Petrol,1,1199
7588,Grey,2018,3599mm,330000.0,1495mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Wagon R,48000,Third Party insurance,Petrol,1,998
7589,Others,2013,3495mm,220000.00000000003,1550mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai EON,10000,Third Party insurance,Petrol,1,814
7590,Sunset Red,2018,3840mm,495000.0,1735mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Swift,41000,Comprehensive,Petrol,1,1197
7591,White,2017,4456mm,890000.0,1820mm,Mahindra,Manual,9.0,SUV,Kolkata,Mahindra Scorpio,79955,Comprehensive,Diesel,2,1997
7592,White,2020,4686mm,3500000.0,2020mm,Mercedes-Benz,Automatic,5.0,Sedan,Kolkata,Mercedes-Benz C-Class,25910,Comprehensive,Diesel,1,2143
7593,Red,2018,3495mm,279000.0,1550mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai EON,44446,Comprehensive,Petrol,2,814
7594,Red,2018,3746mm,424000.0,1647mm,Tata,Manual,5.0,Hatchback,Kolkata,Tata Tiago,30658,Comprehensive,Diesel,1,1047
7595,Red,2017,4440mm,595000.0,1695mm,Honda,Manual,5.0,Sedan,Kolkata,Honda City,44000,Third Party insurance,Petrol,1,1497
7596,Others,2017,3746mm,352000.0,1647mm,Tata,Manual,5.0,Hatchback,Kolkata,Tata Tiago,55073,Third Party,Petrol,1,1199
7597,White,2012,4620mm,480999.99999999994,1776mm,Toyota,Automatic,5.0,Sedan,Kolkata,Toyota Corolla Altis,43886,Comprehensive,Petrol,1,1794
7598,Others,2022,4585mm,1090000.0,1866mm,Mahindra,Manual,8.0,MUV,Kolkata,Mahindra Marazzo,20000,Third Party insurance,Diesel,1,1497
7599,Silver,2016,4440mm,463999.99999999994,1695mm,Honda,Manual,5.0,Sedan,Kolkata,Honda City,118569,Comprehensive,Petrol,2,1497
7600,Others,2014,4384mm,340000.0,1699mm,Volkswagen,Manual,5.0,Sedan,Kolkata,Volkswagen Vento,30000,Third Party insurance,Diesel,1,1498
7601,Red,2019,3445mm,352000.0,1490mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Alto 800,18060,Zero Dep,Petrol,1,796
7602,Others,2014,3990mm,319000.0,1680mm,Honda,Manual,5.0,Sedan,Kolkata,Honda Amaze,94042,Comprehensive,Petrol,1,1198
7603,Black,2017,4456mm,1075000.0,1820mm,Mahindra,Manual,8.0,SUV,Kolkata,Mahindra Scorpio,90438,Comprehensive,Diesel,1,2179
7604,Gray,2009,3595mm,140000.0,1495mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Wagon R,120000,Third Party insurance,Petrol,2,998
7605,Others,2009,3565mm,125000.0,1525mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai Santro Xing,80000,Third Party insurance,Petrol,1,1086
7606,Others,2018,4395mm,1200000.0,1818mm,Jeep,Manual,5.0,SUV,Kolkata,Jeep Compass,50000,Third Party insurance,Diesel,1,1956
7607,Others,2010,3775mm,160000.0,1680mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Ritz,60000,Third Party insurance,Petrol,3,1197
